# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300
62.4546   331.2088  63.819    331.3592  62.0021   331.7226  64.0472   331.6704  61.9238   331.4135  57.2496   332.3156  56.1901   331.8144
63.2453   331.2429  64.6132   331.3803  62.7847   331.7625  64.8224   331.6953  62.7077   331.4541  58.0336   332.3505  56.9763   331.8572
64.0259   331.2681  65.3959   331.4077  63.5757   331.7895  65.6056   331.7172  63.4878   331.4813  58.8127   332.3772  57.7593   331.8979
64.8204   331.2915  66.1869   331.4386  64.3596   331.8104  66.3901   331.7514  64.2561   331.5033  59.5988   332.4113  58.5534   331.9219
65.6022   331.3155  66.9771   331.4611  65.1438   331.8389  67.1742   331.7662  65.0381   331.5314  60.386    332.4411  59.3342   331.9595
66.3872   331.3507  67.7638   331.4724  65.9246   331.8621  67.9664   331.7849  65.8322   331.5538  61.1682   332.4723  60.1185   331.9915
67.1816   331.3659  68.5528   331.5064  66.7102   331.8913  68.7487   331.8106  66.6125   331.5846  61.9564   332.49    60.9066   332.024
67.9698   331.3833  69.3368   331.5239  67.491    331.901   69.5405   331.8339  67.3946   331.5964  62.74     332.5226  61.6998   332.043
68.7504   331.4127  70.1257   331.5435  68.2821   331.9313  70.3234   331.8465  68.1754   331.6229  63.5174   332.5456  62.4843   332.077
69.5448   331.434   70.9104   331.5559  69.0693   331.9473  71.1093   331.8619  68.9491   331.6406  64.3005   332.5661  63.2703   332.1038
70.3352   331.4479  71.695    331.579   69.8515   331.9702  71.8898   331.8876  69.7322   331.6653  65.0851   332.5903  64.0509   332.1252
71.119    331.4635  72.4768   331.5997  70.6397   331.9807  72.6821   331.9003  70.5185   331.6754  65.8647   332.61    64.8399   332.1496
71.9088   331.4888  73.2643   331.6067  71.4281   331.9998  73.4716   331.913   71.2983   331.6932  66.6515   332.6342  65.6258   332.1685
72.7013   331.5038  74.0478   331.6248  72.2115   332.0247  74.2613   331.9301  72.086    331.7187  67.4299   332.6454  66.3816   332.1959
73.4785   331.5138  74.8323   331.6392  73.006    332.0294  75.0432   331.9456  72.8698   331.7269  68.2185   332.6693  67.1776   332.2108
74.2665   331.5318  75.616    331.6616  73.7941   332.0471  75.8261   331.9592  73.6564   331.7422  68.9984   332.6839  67.9644   332.2291
75.0513   331.5478  76.4046   331.6589  74.5797   332.0618  76.6124   331.9656  74.4408   331.7586  69.7884   332.7032  68.7449   332.25
