# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# T_lat: The average lattice temperature of the simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)             T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)   t(ps)              T_lat(K)
14.563616          354.4125   30.619394          355.69525  16.161798          355.64778  24.642558          356.12183  21.920154          355.66697  28.946245          355.00686  26.103885          354.86913  23.180363          355.84452  26.991204          354.95304
15.280733          355.96389  31.376639          355.82559  16.854567          355.20184  25.403173          355.74417  22.679151          355.44561  29.70032           355.69059  26.86076           355.21427  23.936145          355.55062  27.741973          356.07058
16.029154          355.93639  32.141575          354.54663  17.606059          355.18279  26.156535          355.36517  23.425823          355.14358  30.457472          356.22912  27.622585          355.85726  24.691985          356.10831  28.493207          355.69138
16.765328          355.47022  32.901636          355.73863  18.350842          355.34243  26.913584          355.37235  24.18305           355.88597  31.217501          355.34807  28.378158          355.93905  25.450021          355.92118  29.246159          354.69282
17.500072          355.46524  33.659031          356.55041  19.043019          355.47825  27.670235          356.51336  24.934689          355.6202   31.974573          355.22681  29.132964          354.68724  26.20934           355.13055  30.008309          355.73458
18.245432          355.35656  34.426882          354.88663  19.794829          355.31276  28.426826          355.75406  25.688501          355.40466  32.73482           355.42128  29.87873           355.64574  26.968245          355.53589  30.76283           355.56639
18.991872          356.00281  35.187248          355.51286  20.551442          355.40845  29.181641          355.47339  26.449264          355.77672  33.494288          356.29202  30.636446          355.77952  27.718877          356.23124  31.522796          355.80518
19.739731          355.36069  35.950489          355.73926  21.303877          355.71665  29.935394          356.02125  27.214167          354.69828  34.260358          354.97051  31.370208          355.54164  28.480276          355.63041  32.281434          354.52894
20.49533           355.35672  36.709972          355.58898  22.060385          356.06543  30.689354          355.7576   27.972637          356.27136  35.015045          355.7997   32.119874          354.53049  29.235516          355.28184  33.028246          355.40019
21.257965          355.75567  37.463998          355.96375  22.821005          355.39613  31.454319          355.92314  28.719444          355.10151  35.774359          355.71825  32.884661          355.43919  29.994525          356.27275  33.787964          356.39236
