# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of defected atoms
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)             N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def
6.499949           6120   20.022774          2579   7.226099           4739   14.144268          2435   11.720143          2734   18.473826          2578   15.840324          4142   12.817946          2406   16.625999          3345
6.938981           5287   20.780496          2558   7.679494           4210   14.883831          2431   12.380912          2797   19.202892          2556   16.526423          4026   13.534386          2364   17.326427          3250
7.397167           4698   21.538493          2593   8.155224           3832   15.619273          2431   13.080526          2780   19.950162          2538   17.227979          4097   14.251397          2341   18.040668          3275
7.863136           3962   22.298635          2556   8.649683           3470   16.370467          2441   13.799558          2743   20.698374          2591   17.929405          4084   14.970068          2377   18.765077          3235
8.352483           3496   23.057016          2568   9.182384           3369   17.113561          2409   14.5065            2710   21.406719          2500   18.654264          4062   15.706364          2367   19.498929          3216
8.831978           3075   23.807657          2528   9.776026           3346   17.856007          2434   15.21177           2748   22.147474          2521   19.384049          4088   16.438935          2342   20.248713          3269
9.339268           2774   24.562486          2494   10.417529          3317   18.607048          2451   15.946712          2739   22.903271          2522   20.124756          4123   17.173334          2350   20.994914          3261
9.901051           2739   25.316515          2565   11.094954          3288   19.350426          2451   16.687945          2674   23.657412          2529   20.870189          4149   17.922062          2339   21.718872          3229
10.505571          2652   26.071727          2542   11.768363          3265   20.097589          2455   17.429641          2709   24.419384          2527   21.623451          4292   18.663597          2342   22.465207          3287
11.132093          2663   26.831372          2552   12.474046          3273   20.853489          2427   18.168427          2648   25.174063          2515   22.370134          4236   19.411172          2327   23.215588          3250
11.783467          2609   27.594874          2588   13.200942          3331   21.605463          2410   18.908661          2647   25.92623           2537   23.124316          4228   20.161621          2351   23.966307          3287
12.447543          2639   28.35136           2551   13.93843           3270   22.36535           2449   19.65906           2709   26.678661          2513   23.874694          4189   20.912795          2333   24.717042          3257
13.143394          2630   29.111652          2521   14.676585          3238   23.124014          2432   20.415718          2623   27.4428            2534   24.61568           4222   21.666317          2348   25.476034          3240
