# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300
47.388    328.4054  38.9935   332.2625  45.9525   330.4131  38.9521   332.073   47.353    331.9979  26.5989   331.4031  44.2147   331.9254  39.4974   331.6969  39.1516   332.1456  32.6606   328.7141
48.1572   328.4168  39.7574   332.3193  46.7031   330.4455  39.7167   332.1303  48.1226   332.0109  27.3643   331.5293  44.9693   331.9484  40.2562   331.7594  39.9121   332.2011  33.4278   328.7744
48.9213   328.4526  40.52     332.3707  47.4684   330.4659  40.4711   332.1813  48.8844   332.0536  28.1251   331.6449  45.7302   331.9849  41.0119   331.8034  40.6731   332.2475  34.1911   328.8433
49.6872   328.4706  41.2827   332.4084  48.2231   330.4821  41.2247   332.2196  49.6545   332.0764  28.8764   331.7644  46.4889   332.0171  41.7751   331.8464  41.4408   332.2837  34.955    328.9043
50.4544   328.4805  42.0478   332.4434  48.989    330.5217  41.9833   332.2552  50.4205   332.087   29.6259   331.8569  47.2434   332.0455  42.5323   331.8789  42.1968   332.314   35.7232   328.9558
51.2175   328.4973  42.8117   332.4826  49.7526   330.5389  42.7469   332.2947  51.1794   332.1076  30.3786   331.952   48.0039   332.0572  43.2928   331.9325  42.9593   332.3563  36.4889   329.0054
51.9828   328.5145  43.5725   332.5244  50.5148   330.5493  43.5079   332.336   51.9352   332.1285  31.1386   332.0492  48.7546   332.089   44.0589   331.9695  43.7221   332.3953  37.2502   329.0559
52.7457   328.5402  44.3318   332.5486  51.2787   330.5699  44.2731   332.3633  52.6962   332.1597  31.8968   332.1313  49.5228   332.1154  44.8196   331.9875  44.48     332.4134  38.0182   329.1083
53.5186   328.539   45.092    332.5733  52.0417   330.5894  45.0409   332.3872  53.4598   332.1578  32.6631   332.2079  50.2855   332.1303  45.5839   332.0284  45.242    332.4416  38.7749   329.1374
54.2771   328.5545  45.853    332.6066  52.8076   330.6147  45.8016   332.4217  54.221    332.1745  33.4202   332.2752  51.0427   332.1441  46.3413   332.0599  46.0034   332.4722  39.5413   329.1766
55.043    328.5746  46.619    332.6365  53.5661   330.6137  46.5626   332.4528  54.9795   332.2     34.1819   332.3505  51.8016   332.1635  47.1071   332.0921  46.771    332.5024  40.302    329.2201
55.7887   328.585   47.3772   332.6598  54.3325   330.6341  47.3285   332.4733  55.738    332.2118  34.9342   332.4171  52.5736   332.1919  47.8742   332.1041  47.4679   332.5182  41.0614   329.252
56.5532   328.5906  48.1386   332.6719  55.0922   330.653   48.0948   332.4907  56.5041   332.2182  35.6972   332.4738  53.3342   332.1971  48.6344   332.1342  48.2231   332.5329  41.8312   329.2839
57.3204   328.5964  48.8978   332.7065  55.8523   330.6645  48.853    332.5208  57.2716   332.2242  36.4551   332.5279  54.0939   332.2063  49.3939   332.1663  48.9848   332.5666  42.5938   329.3061
58.0811   328.6142  49.6656   332.7248  56.6246   330.6685  49.6128   332.5426  58.029    332.2459  37.2199   332.5849  54.8518   332.2309  50.1488   332.1805  49.7503   332.5841  43.3124   329.3433
